 [INFO ] 2016-04-06 16:04:52:1587 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 29 | 284464 | ----- The new request to erasc.popwebstudio.ru/adminpanel/ ----------------
[DEBUG] 2016-04-06 16:04:52:1588 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 46 | 284272 | Trying to call insert_function_function.php
[INFO ] 2016-04-06 16:04:52:1589 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_function_function.php | 12 | 286312 | Got this file
[DEBUG] 2016-04-06 16:04:52:1589 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 49 | 284600 | Trying to insert insert_module function
[INFO ] 2016-04-06 16:04:52:1589 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 2 | 286576 | Got this file
[DEBUG] 2016-04-06 16:04:52:1590 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 53 | 284864 | Trying to check available modules
[INFO ] 2016-04-06 16:04:52:1590 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_avail_modules.php | 10 | 286840 | Got this file
[DEBUG] 2016-04-06 16:04:52:1592 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_avail_modules.php | 21 | 291160 | Data about modules received: installed 5, enabled 5
[DEBUG] 2016-04-06 16:04:52:1593 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 56 | 289248 | Trying to get browser
[INFO ] 2016-04-06 16:04:52:1593 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/browser.php | 15 | 291120 | Got this file
[DEBUG] 2016-04-06 16:04:52:1596 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/browser.php | 51 | 292248 | Browser matched:chrome version 39.0.2171.95
[DEBUG] 2016-04-06 16:04:52:1596 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 59 | 290416 | Trying to check if it is bot
[INFO ] 2016-04-06 16:04:52:1597 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_bots.php | 2 | 292344 | Got this file
[DEBUG] 2016-04-06 16:04:52:1597 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 62 | 293512 | Trying to found injection
[INFO ] 2016-04-06 16:04:52:1598 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/check_injection.php | 3 | 295464 | Got this file
[DEBUG] 2016-04-06 16:04:52:1598 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 68 | 295496 | Trying to get page from get
[INFO ] 2016-04-06 16:04:52:1599 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/pagefromget.php | 2 | 297416 | Got this file
[INFO ] 2016-04-06 16:04:52:1599 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/functions/process_user_data.php | 2 | 299408 | Got this file
[INFO ] 2016-04-06 16:04:52:1600 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/checkuserrole.php | 2 | 300208 | Got this file
[DEBUG] 2016-04-06 16:04:52:1600 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/checkuserrole.php | 184 | 300464 | Userrole is guest
[DEBUG] 2016-04-06 16:04:52:1605 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/pagefromget.php | 35 | 305760 | Page is admin_hello
[DEBUG] 2016-04-06 16:04:52:1605 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 71 | 303952 | Trying to get mode from get
[INFO ] 2016-04-06 16:04:52:1605 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/modefromget.php | 2 | 305792 | Got this file
[DEBUG] 2016-04-06 16:04:52:1606 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 74 | 304032 | Trying to get menu from get
[INFO ] 2016-04-06 16:04:52:1606 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/menufromget.php | 2 | 305872 | Got this file
[DEBUG] 2016-04-06 16:04:52:1607 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 77 | 304416 | Trying to get language from get
[INFO ] 2016-04-06 16:04:52:1607 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/langfromget.php | 2 | 306256 | Got this file
[DEBUG] 2016-04-06 16:04:52:1607 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 80 | 304720 | Trying to get all site messages from DB
[DEBUG] 2016-04-06 16:04:52:1608 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/messages.php | 11 | 306600 | Got this file
[DEBUG] 2016-04-06 16:04:52:1612 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/messages.php | 22 | 317288 | Got 2 messages for this company
[DEBUG] 2016-04-06 16:04:52:1612 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 89 | 315496 | Trying to call autoload_scripts_from_functions.php
[INFO ] 2016-04-06 16:04:52:1612 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/autoload_scripts_from_functions.php | 11 | 317448 | Got this file
[DEBUG] 2016-04-06 16:04:52:1613 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/start_platform_scripts.php | 93 | 315776 | Trying to insert SEND_LETTER function
[INFO ] 2016-04-06 16:04:52:1613 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/functions/send_letter.php | 1 | 319344 | Got this file
[INFO ] 2016-04-06 16:04:52:1614 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/platform_header.php | 1 | 316072 | Got platform_header
[DEBUG] 2016-04-06 16:04:52:1615 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 17 | 320536 | Module config is in /modules/rss/
[DEBUG] 2016-04-06 16:04:52:1616 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 33 | 320960 | Trying to include module design file for rss
[DEBUG] 2016-04-06 16:04:52:1618 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 17 | 321672 | Module config is in /modules/counter-googleanalytics/
[DEBUG] 2016-04-06 16:04:52:1619 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 33 | 321984 | Trying to include module design file for counter-googleanalytics
[DEBUG] 2016-04-06 16:04:52:1620 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 17 | 322488 | Module config is in /modules/counter-liveinternet/
[DEBUG] 2016-04-06 16:04:52:1621 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 33 | 322776 | Trying to include module design file for counter-liveinternet
[INFO ] 2016-04-06 16:04:52:1622 | erasc.popwebstudio.ru | 188.64.146.64 | guest | modules/counter-liveinternet/design.php | 11 | 324952 | design.php | Got /home/a/aromanuq/popwebstudio/public_html/modules/counter-liveinternet/design.php
[DEBUG] 2016-04-06 16:04:52:1623 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 17 | 323072 | Module config is in /modules/counter-yandex/
[DEBUG] 2016-04-06 16:04:52:1623 | erasc.popwebstudio.ru | 188.64.146.64 | guest | core/insert_module_function.php | 33 | 323360 | Trying to include module design file for counter-yandex
[INFO ] 2016-04-06 16:04:52:1638 | erasc.popwebstudio.ru | 188.64.146.64 | guest | adminpanel/adminpanel-checkuserrole.php | 11 | 322368 | Got /home/a/aromanuq/popwebstudio/public_html/adminpanel/adminpanel-checkuserrole.php
