Journal title;Journal URL;First calendar year journal provided online Open Access content;Alternative title;Country of publisher;Full text language;Keywords;Journal ISSN (print version);Journal EISSN (online version);Publisher;Society or institution;Platform, host or aggregator;Journal article processing charges (APCs);APC information URL;APC amount;Currency;Journal article submission fee;Submission fee URL;Submission fee amount;Submission fee currency;Journal waiver policy (for developing country authors etc);Waiver policy information URL;Digital archiving policy or program(s);Archiving: national library;Archiving: other;Archiving infomation URL;Journal full-text crawl permission;Permanent article identifiers;Journal provides download statistics;Download statistics information URL;Full text formats;URL for the Editorial Board page;Review process;Review process information URL;URL for journal's aims & scope;URL for journal's instructions for authors;Journal plagiarism screening policy;Plagiarism information URL;Average number of weeks between submission and publication;URL for journal's Open Access statement;Machine-readable CC licensing information embedded or displayed in articles;URL to an example page with embedded licensing information;Journal license;License attributes;URL for license terms;Does this journal allow unrestricted reuse in compliance with BOAI?;Deposit policy directory;Author holds copyright without restrictions;Copyright information URL;Author holds publishing rights without restrictions;Publishing rights information URL;DOAJ Seal;Tick: Accepted after March 2014;Added on Date;Subjects;Number of Article Records;Most Recent Article Added
Psychologica Belgica;http://www.psychologicabelgica.com/;2004;;United Kingdom;English;experimental psychology, social psychology, cognitive psychology, personality psychology, psychopathology, health psychology;0033-2879;2054-670X;Ubiquity Press;Belgian Association for Psychological Science;Ubiquity Press;Yes;http://www.psychologicabelgica.com/about/submissions/;300;GBP - Pound Sterling;;http://www.psychologicabelgica.com/about/submissions/;;;;;LOCKSS, CLOCKSS;;;http://www.psychologicabelgica.com/about/editorialPolicies#archiving;Yes;DOI;Yes;http://www.psychologicabelgica.com/article/view/pb.au;PDF, HTML, XML;http://www.psychologicabelgica.com/about/editorialTeam;Double blind peer review;http://www.psychologicabelgica.com/about/editorialPolicies#peerReviewProcess;http://www.psychologicabelgica.com/about/editorialPolicies#focusAndScope;http://www.psychologicabelgica.com/about/submissions#authorGuidelines;Yes;http://www.psychologicabelgica.com/about/editorialPolicies#custom-0;4;http://www.psychologicabelgica.com/about/editorialPolicies#openAccessPolicy;Yes;http://www.psychologicabelgica.com/article/view/pb.au/227;CC BY;;http://www.psychologicabelgica.com/about/editorialPolicies#openAccessPolicy;Yes;Sherpa/Romeo;True;http://www.psychologicabelgica.com/about/submissions#copyrightNotice;True;http://www.psychologicabelgica.com/about/submissions#copyrightNotice;Yes;Yes;2014-10-29T15:01:48Z;Philosophy. Psychology. Religion: Psychology;286;2019-04-10T05:15:28Z
Interamerican Journal of Psychology;https://journal.sipsych.org/index.php/IJP/index;2011;Revista Interamericana de Psicología;United States;English, French, Portuguese, Spanish, Castilian;psychology;0034-9690;;University of Florida;;Redalyc;No;https://journal.sipsych.org/index.php/IJP/about/editorialPolicies#openAccessPolicy;;;;https://journal.sipsych.org/index.php/IJP/about/editorialPolicies#openAccessPolicy;;;;;CLOCKSS;;;http://journals.fcla.edu/ijp/issue/archive;Yes;;Yes;http://journals.fcla.edu/ijp/manager/statistics;PDF;http://journals.fcla.edu/ijp/index ,  http://journals.fcla.edu/ijp/pages/view/reviewers;Blind peer review;https://journal.sipsych.org/index.php/IJP/about/editorialPolicies#peerReviewProcess;https://journal.sipsych.org/index.php/IJP/about/editorialPolicies#focusAndScope;https://journal.sipsych.org/index.php/IJP/about/submissions#authorGuidelines;;;24;https://journal.sipsych.org/index.php/IJP/about/editorialPolicies#openAccessPolicy;;;CC BY;;https://journal.sipsych.org/index.php/IJP/about/submissions#copyrightNotice;Yes;;False;;False;;No;Yes;2017-01-03T21:33:45Z;Philosophy. Psychology. Religion: Psychology;741;2018-06-04T14:27:23Z
Studia Psychologica;http://www.studiapsychologica.com/;2016;;Slovakia;English;cognition, emotions, personality, social psychology;0039-3320;2585-8815;Slovak Academy of Sciences, Centre of Social and Psychological Sciences;Institute of Experimental Psychology;;No;http://www.studiapsychologica.com/;;;;http://www.studiapsychologica.com/;;;;;;;;;Yes;;;;PDF;http://www.studiapsychologica.com/;Double blind peer review;http://www.studiapsychologica.com/;http://www.studiapsychologica.com/;http://www.studiapsychologica.com/;;;43;http://www.studiapsychologica.com/;;;CC BY;;http://www.studiapsychologica.com/;Yes;;True;http://www.studiapsychologica.com/;True;http://www.studiapsychologica.com/;No;Yes;2018-11-21T18:17:31Z;Philosophy. Psychology. Religion: Psychology;46;2019-04-10T10:47:33Z
Psihologija;http://www.doiserbia.nb.rs/Journal.aspx?ISSN=0048-5705;2002;;Serbia;English;psychology;0048-5705;1451-9283;Drustvo Psihologa Srbije;;doiSerbia;No;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Open access policy;;;;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Open access policy;;;;;;National Library od Serbia;Scindeks;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Editorial policy;Yes;DOI;;;PDF;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705;Double blind peer review;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Peer review;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=instructionsforauthors;Yes;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Plagiarism;24;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Open access policy;;;CC BY-SA;;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Copyright;Yes;;True;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Copyright;True;http://doiserbia.nb.rs/journal.aspx?issn=0048-5705&pg=editorialpolicy#Copyright;No;Yes;2009-02-27T13:03:25Z;Philosophy. Psychology. Religion: Psychology;461;2018-11-09T13:13:02Z
Revista de Psicologia ;http://www.periodicos.ufc.br/index.php/psicologiaufc;2010;;Brazil;English, Portuguese;mental health, social sciences, psychology;0102-1222;2179-1740;Universidade Federal do Ceará; Universidade Federal do Ceará, Departamento de Psicologia;OJS;No;http://www.periodicos.ufc.br/psicologiaufc/about/editorialPolicies#openAccessPolicy;;;;http://www.periodicos.ufc.br/psicologiaufc/about/editorialPolicies#openAccessPolicy;;;;;;;;http://www.periodicos.ufc.br/index.php/psicologiaufc/about/editorialPolicies#archiving;Yes;;;;PDF;http://www.periodicos.ufc.br/index.php/psicologiaufc/about/editorialTeam;Blind peer review;http://www.periodicos.ufc.br/index.php/psicologiaufc/about/editorialPolicies#peerReviewProcess;http://www.periodicos.ufc.br/index.php/psicologiaufc/about/editorialPolicies#focusAndScope;http://www.periodicos.ufc.br/index.php/psicologiaufc/about/editorialPolicies#custom-1;;;16;http://www.periodicos.ufc.br/index.php/psicologiaufc/about/editorialPolicies#openAccessPolicy;;;CC BY-NC;;http://www.periodicos.ufc.br/psicologiaufc/index;Yes;;False;;False;;No;Yes;2017-07-03T13:28:45Z;Philosophy. Psychology. Religion: Psychology;254;2018-02-01T14:27:45Z
Psicologia & Sociedade;http://www.scielo.br/scielo.php?pid=0102-7182&script=sci_serial;2002;;Brazil;French, Portuguese, Spanish, Castilian;psychology and society, social psychology;0102-7182;1807-0310;Associação Brasileira de Psicologia Social;;SciELO Brazil;No;http://www.scielo.br/revistas/psoc/iinstruc.htm#001;;;;http://www.scielo.br/revistas/psoc/iinstruc.htm#001;;;;;;;;;Yes;DOI;Yes;http://www.scielo.br/statjournal.php?lang=en&issn=0102-7182;PDF, HTML, XML;http://www.scielo.br/revistas/psoc/iedboard.htm;Double blind peer review;http://www.scielo.br/revistas/psoc/iinstruc.htm;http://www.scielo.br/revistas/psoc/iinstruc.htm;http://www.scielo.br/revistas/psoc/iinstruc.htm;;;36;http://www.scielo.br/revistas/psoc/isubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822015000100035&lng=en&nrm=iso&tlng=pt;CC BY;;http://www.scielo.br/scielo.php?pid=0102-7182&script=sci_serial;Yes;;False;;False;;No;Yes;2004-04-23T21:31:01Z;Philosophy. Psychology. Religion: Psychology | Social Sciences: Social sciences (General);1226;2019-04-10T01:26:20Z
Psicologia: Reflexão e Crítica;https://prc.springeropen.com;1997;Psychology: Reflection and Criticism;United Kingdom;English;psychology, human development, psychological assessment, experimental psychology;0102-7972;1678-7153;SpringerOpen;Universidade Federal do Rio Grande do Sul;SpringerOpen;Yes;https://prc.springeropen.com/about;660;GBP - Pound Sterling;;https://prc.springeropen.com/about;;;Yes;https://prc.springeropen.com/about;CLOCKSS;;;http://www.springeropen.com/get-published/indexing-archiving-and-access-to-data/journal-archiving;Yes;DOI;Yes;https://www.springer.com/gp/authors-editors/journal-author/journal-author-helpdesk/article-level-metrics/23400;PDF, HTML;https://prc.springeropen.com/about/editorial-board;Blind peer review;https://prc.springeropen.com/about;https://prc.springeropen.com/about;https://prc.springeropen.com/submission-guidelines;Yes;http://www.springeropen.com/get-published/editorial-policies#duplicate+publication;24;https://prc.springeropen.com/about;Yes;https://prc.springeropen.com/articles/10.1186/s41155-016-0051-7;CC BY;;https://www.springeropen.com/get-published/copyright/copyright-and-license-agreement;Yes;Sherpa/Romeo;True;http://www.springeropen.com/get-published/copyright/copyright-and-license-agreement;True;http://www.springeropen.com/get-published/copyright/copyright-and-license-agreement;Yes;Yes;2004-04-23T21:31:01Z;Philosophy. Psychology. Religion: Psychology;2019;2019-04-15T07:44:32Z
Estudos de Psicologia (Campinas);http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-166X&lng=en&nrm=iso;2007;;Brazil;English, French, Portuguese, Spanish, Castilian;psychological assessment, psychology;0103-166X;1982-0275;Pontifícia Universidade Católica de Campinas;Programa de Pós-Graduação em Psicologia;SciELO Brazil;No;http://www.scielo.br/revistas/estpsi/iaboutj.htm;;;;http://www.scielo.br/revistas/estpsi/iaboutj.htm;;;;;;;;;Yes;DOI;;;PDF, HTML, XML;http://www.scielo.br/revistas/estpsi/iedboard.htm;Peer review;http://www.scielo.br/revistas/estpsi/iinstruc.htm;http://www.scielo.br/revistas/estpsi/iaboutj.htm;http://www.scielo.br/revistas/estpsi/iinstruc.htm;Yes;http://www.scielo.br/revistas/estpsi/iinstruc.htm;13;http://www.scielo.br/revistas/estpsi/iaboutj.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300371&lng=en&nrm=iso&tlng=pt;CC BY-NC;;http://www.scielo.br/revistas/estpsi/iaboutj.htm;Yes;;False;;False;;No;Yes;2015-10-06T20:36:08Z;Philosophy. Psychology. Religion: Psychology;0;
Psico;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico;2005;;Brazil;English, Portuguese, Spanish, Castilian;psychology;0103-5371;1980-8623;Editora da Pontifícia Universidade Católica do Rio Grande do Sul (EDIPUCRS);Pontifícia Universidade Católica do Rio Grande do Sul;OJS;No;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialPolicies#custom-8;;;;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialPolicies#custom-8;;;;;;Biblioteca Nacional do Brasil;;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialPolicies#archiving;Yes;DOI;;;PDF;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialTeam;Double blind peer review;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialPolicies#peerReviewProcess;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialPolicies#focusAndScope;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/submissions#authorGuidelines;;;10;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/editorialPolicies#openAccessPolicy;Yes;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/article/view/15155/12471;CC BY;;http://revistaseletronicas.pucrs.br/ojs/index.php/revistapsico/about/submissions#copyrightNotice;Yes;Sherpa/Romeo;False;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/submissions#copyrightNotice;False;http://revistaseletronicas.pucrs.br/revistapsico/ojs/index.php/revistapsico/about/submissions#copyrightNotice;No;Yes;2007-09-26T13:41:25Z;Philosophy. Psychology. Religion: Psychology;654;2019-03-29T11:58:33Z
Psicologia USP ;http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6564&lng=en&nrm=iso;1997;Psicologia Universidade de São Paulo;Brazil;English, French, Portuguese, Spanish, Castilian;psychology;0103-6564;1678-5177;Universidade de São Paulo;Universidade de São Paulo, Instituto de Psicologia;SciELO Brazil;No;http://www.scielo.br/revistas/pusp/iinstruc.htm#006;;;;http://www.scielo.br/revistas/pusp/iinstruc.htm#006;;;;;;;;;Yes;DOI;Yes;http://www.scielo.br/statjournal.php?lang=en&issn=0103-6564;PDF, HTML, XML;http://www.scielo.br/revistas/pusp/iedboard.htm;Double blind peer review;http://www.scielo.br/revistas/pusp/iinstruc.htm;http://www.scielo.br/revistas/pusp/iinstruc.htm;http://www.scielo.br/revistas/pusp/iinstruc.htm;;;32;http://www.scielo.br/revistas/pusp/isubscrp.htm;Yes;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642015000100037&lng=en&nrm=iso&tlng=pt;CC BY-NC;;http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-6564&lng=en&nrm=iso;Yes;;False;;False;;No;Yes;2010-11-11T16:24:04Z;Philosophy. Psychology. Religion: Psychology;1036;2019-04-10T08:40:49Z
