[INFO ] 2019-06-10 10:36:01:3216 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 53 | 49768 | ----- The new request to psy-space.ru/?page=kto-takaya-horoshaya-devochka-i-pochemu-ona-neschastnaya [loglevel is DEBUG]----------------
[INFO ] 2019-06-10 10:36:01:3217 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 54 | 49456 | Session id is 81c9ed65f8fa9d0a0b7bdde4465ce70c
[DEBUG] 2019-06-10 10:36:01:3219 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 71 | 49328 | Trying to call insert_function_function.php
[INFO ] 2019-06-10 10:36:01:3220 | psy-space.ru | 178.154.200.51 | guest | core/insert_function_function.php | 12 | 51704 | Got this file
[DEBUG] 2019-06-10 10:36:01:3221 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 74 | 49992 | Trying to insert insert_module function
[INFO ] 2019-06-10 10:36:01:3222 | psy-space.ru | 178.154.200.51 | guest | core/insert_module_function.php | 2 | 52432 | Got this file
[INFO ] 2019-06-10 10:36:01:3222 | psy-space.ru | 178.154.200.51 | guest | core/autoload_scripts_from_functions.php | 11 | 53160 | Got this file
[DEBUG] 2019-06-10 10:36:01:3223 | psy-space.ru | 178.154.200.51 | guest | core/messageGet_function.php | 11 | 54056 | Got this file
[DEBUG] 2019-06-10 10:36:01:3224 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 81 | 52368 | Trying to check available modules
[INFO ] 2019-06-10 10:36:01:3224 | psy-space.ru | 178.154.200.51 | guest | core/check_avail_modules.php | 10 | 54696 | Got this file
[DEBUG] 2019-06-10 10:36:01:3229 | psy-space.ru | 178.154.200.51 | guest | core/check_avail_modules.php | 22 | 91784 | Data about modules received: installed 47, enabled 47, cron enabled for 1
[DEBUG] 2019-06-10 10:36:01:3230 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 84 | 89800 | Trying to get browser
[INFO ] 2019-06-10 10:36:01:3230 | psy-space.ru | 178.154.200.51 | guest | core/browser.php | 15 | 91776 | Got this file
[DEBUG] 2019-06-10 10:36:01:3231 | psy-space.ru | 178.154.200.51 | guest | core/browser.php | 51 | 93096 | Browser matched:, version - .User agent was - Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
[INFO ] 2019-06-10 10:36:01:3232 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 89 | 91432 | This is BOT:YandexBot UserAgent is Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)
[DEBUG] 2019-06-10 10:36:01:3232 | psy-space.ru | 178.154.200.51 | guest | core/start_platform_scripts.php | 92 | 91072 | Trying to found injection
