[LEVEL] TIMESTAMP | DOMAIN | USER IP | USER ROLE | SCRIPT | ROW | MEMORY USAGE | MESSAGE
[INFO ] 2018-01-03 16:29:23:1820 | nlp-course.ru | 212.24.63.49 | guest | core/start_platform_scripts.php | 40 | 67112 | ----- The new request to nlp-course.ru/modules/robokassa/callback.php?out_summ=14997&OutSum=14997&inv_id=18147366&InvId=18147366&crc=89D1121DE789E61A8857999BBCACC0AD&SignatureValue=89D1121DE789E61A8857999BBCACC0AD&PaymentMethod=BankCard&IncSum=16046.79&IncCurrLabel=QCardR&IsTest=1 [loglevel is DEBUG]----------------
[INFO ] 2018-01-03 16:29:23:1820 | nlp-course.ru | 212.24.63.49 | guest | core/start_platform_scripts.php | 41 | 66296 | Session id is 861e63b83c72152da0bbac8ec4241c34
[DEBUG] 2018-01-03 16:29:23:1821 | nlp-course.ru | 212.24.63.49 | guest | core/start_platform_scripts.php | 58 | 66160 | Trying to call insert_function_function.php
[INFO ] 2018-01-03 16:29:23:1823 | nlp-course.ru | 212.24.63.49 | guest | core/insert_function_function.php | 12 | 68168 | Got this file
[DEBUG] 2018-01-03 16:29:23:1823 | nlp-course.ru | 212.24.63.49 | guest | core/start_platform_scripts.php | 61 | 66456 | Trying to insert insert_module function
[INFO ] 2018-01-03 16:29:23:1824 | nlp-course.ru | 212.24.63.49 | guest | core/insert_module_function.php | 2 | 68464 | Got this file
[INFO ] 2018-01-03 16:29:23:1824 | nlp-course.ru | 212.24.63.49 | guest | core/autoload_scripts_from_functions.php | 11 | 68800 | Got this file
[DEBUG] 2018-01-03 16:29:23:1824 | nlp-course.ru | 212.24.63.49 | guest | core/start_platform_scripts.php | 66 | 67064 | Trying to check available modules
[INFO ] 2018-01-03 16:29:23:1825 | nlp-course.ru | 212.24.63.49 | guest | core/check_avail_modules.php | 10 | 69056 | Got this file
[DEBUG] 2018-01-03 16:29:23:1829 | nlp-course.ru | 212.24.63.49 | guest | core/check_avail_modules.php | 22 | 96184 | Data about modules received: installed 33, enabled 33, cron enabled for 1
